date,county,GEOID,T_day,T_night,T_avg
2025-01-01,Covington,51580,-0.5854060324825723,-2.740628531073415,2.0209816440543156
2025-01-01,Buena Vista,51530,1.208643212377998,-4.957913673481891,-3.181646653119005
2025-01-01,Lexington,51678,2.757934475646549,-4.134215452958885,0.2183505408063242
2025-01-01,Galax,51640,-0.1169984364311267,1.8235540069686762,-1.5466255144032606
2025-01-01,Norton,51720,-2.3228803016022397,-5.9560538411030635,
2025-01-01,Radford,51750,0.6719514274226273,-2.7422828709288014,-0.3760641483121789
2025-01-01,Danville,51590,3.996343300662674,0.8270553371357134,3.2686234010742865
2025-01-01,Martinsville,51690,2.4090064899351327,0.20470850291499967,1.3638961610384202
2025-01-01,Salem,51775,1.4335224928681431,-0.37923839697166045,0.4934990125082589
2025-01-01,Roanoke,51770,1.9066992514311167,-1.1784858577625092,1.3091000144321245
2025-01-01,Bristol,51520,1.9284889013593007,-5.5875384811092506,-3.2252422303473236
2025-01-01,Russell,51167,-1.2738565114134028,-7.242853638157781,-4.738876258431644
2025-01-01,Buchanan,51027,-3.3605429147118633,-7.196470471068591,-5.974999999999973
2025-01-01,Alleghany,51005,-3.11727571678921,-3.268201441925192,-0.9120081113464108
2025-01-01,Patrick,51141,1.417000719945513,1.5228244957055392,1.939177585399675
2025-01-01,Grayson,51077,-2.0940956742506756,0.3484580024666002,0.280596537267607
2025-01-01,Wythe,51197,-0.7597159446591502,-1.233328308875555,-0.8104738478126886
2025-01-01,Carroll,51035,-1.0265988240236326,0.8923817960988044,0.004584141749453348
2025-01-01,Bath,51017,-4.851554935911405,-4.453260753851084,-4.468645966349186
2025-01-01,Smyth,51173,-2.454041435557803,-7.628987274197865,-6.277081306761905
2025-01-01,Bland,51021,-2.5175818518886053,-2.726999155137791,-1.9961743580534876
2025-01-01,Lee,51105,-0.052393099112914586,-4.880020605174579,-2.981729463794621
2025-01-01,Highland,51091,-6.270261192281422,-1.2195776084063243,-0.22035145267101106
2025-01-01,Rockbridge,51163,-0.7116845469384219,-3.950276672844585,-2.5978261833285847
2025-01-01,Dickenson,51051,-2.702174045673799,-6.929058627679968,-6.221361462787776
2025-01-01,Wise,51195,-2.5942560726018993,-6.5610407134997,-5.0749848609963895
2025-01-01,Montgomery,51121,-0.1557259135492769,-1.5700200374723179,-0.6939196399779681
2025-01-01,Floyd,51063,-0.868733433549032,1.2669103557278139,1.5406278529850816
2025-01-01,Giles,51071,-2.004311479567162,-3.7967254447969405,-1.4669008280913798
2025-01-01,Pulaski,51155,0.0910760229636218,-1.6422759054677403,-0.04344375386862766
2025-01-01,Tazewell,51185,-3.927604833511657,-6.3405852117577455,-6.044736842105235
2025-01-01,Pittsylvania,51143,2.9991999071585806,0.8597046692989154,3.1823045884027565
2025-01-01,Amherst,51009,0.20631133838449803,-1.6927128950027548,-0.8376006138185813
2025-01-01,Bedford,51019,1.286047159606496,-1.1960762850577342,0.056978061304286995
2025-01-01,Campbell,51031,1.9014442786188195,0.466343876609471,2.5189466597857986
2025-01-01,Henry,51089,2.4615623716715613,0.5206592895667009,2.153191576385867
2025-01-01,Craig,51045,-1.3518237926410048,-0.9237743343175675,-0.03235553339799793
2025-01-01,Franklin,51067,1.5035505561098383,0.11521804218440888,0.9611800480867929
2025-01-01,Roanoke,51161,-0.15881382928628793,-0.5978101555137619,0.5978894663254034
2025-01-01,Botetourt,51023,-0.12382905485184695,-0.9904343503245518,0.4065716635802853
2025-01-01,Scott,51169,-0.033221317647634405,-4.7141776381474525,-3.165826975513592
2025-01-01,Washington,51191,-1.4330999412559242,-6.704818696961015,-4.544497675214622
2025-01-01,Augusta,51015,-1.6124024325418398,-2.8860812719921594,-0.9994334279157726
2025-01-01,James City,51095,8.92592990587386,3.8848519643580697,9.33136794082343
2025-01-01,Gloucester,51073,9.291228877149198,4.637770185549674,9.806826672691576
2025-01-01,Isle of Wight,51093,7.8404353950767485,2.9756555259570807,7.8028450589494796
2025-01-01,York,51199,10.272977777040486,4.469136428123691,10.809341532546615
2025-01-01,Mathews,51115,4.8834486815050955,4.0721847044627975,4.8136251585541086
2025-01-01,Stafford,51179,2.663410758835632,-2.943331682329453,-2.7048250256356487
2025-01-01,Rappahannock,51157,-0.7938354846932589,-1.4610417453703415,0.5919396913765254
2025-01-01,Fauquier,51061,3.010560644853782,-4.491888291453455,-1.6019467400003444
2025-01-01,Prince William,51153,5.17885455789024,-4.011145212778288,-2.739918285296547
2025-01-01,Arlington,51013,0.99755087968165,-1.3339980898671742,1.1012085445007835
2025-01-01,Fairfax,51059,2.286169684510932,-2.692894938093003,-1.0719319744904068
2025-01-01,Loudoun,51107,3.9634119092226623,-3.3453315318721835,1.6836520802958779
2025-01-01,Culpeper,51047,1.6016819181307178,-4.05200501812759,-1.7652319253168758
2025-01-01,Warren,51187,-2.821863364895738,-2.675625915420478,-1.9088410774237894
2025-01-01,Spotsylvania,51177,3.459411384874876,-2.7715529914259975,-2.6029715974160017
2025-01-01,Clarke,51043,2.3099987296973414,-4.662874747360239,-3.212555767852849
2025-01-01,Frederick,51069,-2.4521624682892544,-2.996117137845413,-3.7281700632345594
2025-01-01,Surry,51181,8.857780035659827,3.8353438100010444,9.303450914009574
2025-01-01,King and Queen,51097,8.69337339695424,1.7569090473869402,8.404371987710606
2025-01-01,Middlesex,51119,8.066771101561,3.6747800408114113,9.316831062017352
2025-01-01,Essex,51057,7.3924622559739435,-0.14948112760819499,5.775625373096748
2025-01-01,Northumberland,51133,8.787083135990063,1.6900119838144083,7.98956200433396
